"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.98,0.313,14.1,3.13,0.00731
"rampState_chb_after",-0.201,0.156,510,-1.29,0.199
"neonicTRUE",0.0272,0.294,22.5,0.0925,0.927
"incubatorninc",-1.66,0.24,200,-6.92,6.03e-11
"speciesgriseocolis",-0.319,0.304,8.35,-1.05,0.324
"speciesimpatiens",0.257,0.289,7.76,0.889,0.401
"rampState_chb_after:neonicTRUE",0.157,0.214,506,0.736,0.462
"rampState_chb_after:incubatorninc",0.864,0.243,520,3.56,0.000409
"neonicTRUE:incubatorninc",-0.382,0.332,191,-1.15,0.251
"rampState_chb_after:neonicTRUE:incubatorninc",-0.7,0.309,514,-2.26,0.024
