colonyID,tagnumber,QWM,Callow
BI16,1447,,
BI16,1553,,
BI16,1415,,
BI16,2768,,
BI16,199,,
BI16,391,,
BI16,2738,,
BI16,1625,,
BI16,72,,
BI16,205,,
BI16,1442,,
BI16,1595,,
BB231,1250,,
BB231,2676,Queen_n,
BB231,1487,Queen,
BB231,202,Queen_n,
BB231,2589,,
BB231,394,,
BB231,362,Queen_n,
BB231,66,,
BB231,1417,Queen_n,
BB231,2578,Queen_n,
BB231,67,Queen_n,
BB231,2772,,
BB231,1324,,
BB231,2804,,
BB231,359,,
BI10,300,Queen,
BI10,129,,
BI10,320,,
BI10,1319,,
BI10,164,,
BI10,109,,
BI10,194,,
BI10,197,,
BI10,2611,,
BI10,295,,
BI10,166,,
BI10,171,,
BI10,18,,
BI10,228,,
BI10,676,,
BI10,71,,
BI10,1349,,
BI10,1225,,
BI10,267,,
BI10,200,,
BI10,77,,
BI196,324,,
BI196,2540,,
BI196,32,,
BI196,262,,
BI196,98,,
BI196,1411,,
BI196,2443,,
BI196,227,,
BI196,1376,,
BI196,1283,,
BI196,326,,
BI196,2650,,
BI196,293,,
BI196,291,,
BI196,298,,
BI196,2412,,
BI196,2536,Male,Callow
BI196,43,,
BI196,1366,Male,Callow
BI196,233,Queen,
BI196,204,,
BI196,268,,
BI196,1618,,
BI196,2683,,
BI196,108,,
BI196,11,,
BI196,1483,,
