Colony ID,Tag List,Queen/male,Callow
BI208,6007,,
BI208,7024,,
BI208,6874,,
BI208,7212,,
BI208,5843,,Callow
BI208,7278,,
BI208,6741,,
BI208,7122,,
BI208,7179,,
BI208,5949,,
BI208,7302,,
BI208,6601,,
BI208,7129,,
BI208,5883,,
BI208,6548,,
BI208,6143,,
BI208,7177,,
BI208,5873,,
BI208,6008,,
BI208,5663,,
BI208,5948,Queen,
BI208,7155,,
BI208,6571,,
BI208,6768,,
BI208,7202,,
BI208,5942,,
BI208,6713,,
BI208,6840,,
BI208,5789,,
BI208,6631,,
BI208,6789,,
BI208,7242,,
BI208,5945,,
BI208,7279,,
BI208,6680,,
BI208,6502,,
BI208,5939,,
BI208,6038,,
BI208,5808,,
BI208,6067,,
BI208,7165,,
BI208,5681,,
BI208,7160,,Callow
BI208,5904,,
BI208,5979,,
BI33,6498,,
BI33,7203,,
BI33,7305,,
BI33,7084,,
BI33,6600,,
BI33,5086,,
BI33,7126,Queen,
BI33,6834,,
BI33,6908,,
BI33,6681,,
BI33,7233,,
BI33,5753,,
BI33,6626,,
BI33,6974,,
BI33,6696,,
BI33,7030,,
BI33,7158,,
BI33,6605,,
BI33,5046,,
BI33,6940,,
BI33,6604,,
BI33,5886,,
BI33,6737,,
BI33,7161,,
BI33,6598,,
BI33,7061,,
BI33,7207,,
BI33,7299,,
BI33,6706,,
BI33,7060,,
BI33,7303,,
BI33,7309,,
BI33,7033,,
BI33,6712,,
BI33,7159,,
BI33,7071,,
BI33,6746,,
BI33,6594,,
BI33,6814,,
BI33,6875,,
BI33,5472,,
BI33,6785,,
BI33,6788,,
BI33,6508,,
BI33,7243,,
BI33,7213,,
BI33,6560,,
BI33,7335,,
BI33,7304,,
BG157,6503,Male,
BG157,5721,Queen_n,
BG157,7164,Queen_n,
BG157,6971,,
BG157,7004,,
BG157,6933,Queen_n,
BG157,6779,Male,
BG157,6717,,
BG157,7098,Queen,
BG157,7104,Queen_n,
BG157,7066,Queen_n,
BB64,6505,Queen,
BB64,7174,,
BB64,7076,,
BB64,4463,,
