Colony ID,Tag Number,Queen/Worker/Male?,Callow?
BG197,2744,,
BG197,2616,,
BG197,2690,,
BG197,2782,,
BG197,2531,,
BG197,2654,,
BG197,2534,Queen,
BI147,2706,,
BI147,2617,,
BI147,2778,,
BI147,2615,,
BI147,2442,Queen,
BI147,2745,,
BI147,2550,,
BI147,2833,,
BI147,2478,,
BI147,2832,,
BI147,2707,,
BG202,2498,,
BG202,2585,,
BG202,2620,,
BG202,2711,,
BG202,2783,,
BG202,2672,,
BG202,2742,,
BG202,2814,Queen,
BI176,2479,,
BI176,2673,,
BI176,2447,,
BI176,2743,,
BI176,2655,,
BI176,2535,,
BI176,2583,,
BI176,2499,,
BI176,2779,Queen,
