"","colonyID","tagNumber","qwm","callow","block"
"343","BB105",3211,"Queen_n","NaN",1
"344","BB105",1944,"Worker","NaN",1
"345","BB105",661,"Worker","NaN",1
"346","BB105",1817,"Worker","NaN",1
"347","BB105",924,"Worker","NaN",1
"348","BB105",1788,"Queen","NaN",1
"349","BB105",335,"Worker","NaN",1
"350","BB105",1218,"Worker","NaN",1
"351","BB105",1012,"Worker","NaN",1
"352","BB105",1784,"Male","NaN",1
"353","BB105",828,"Male","NaN",1
"354","BB105",1977,"Worker","NaN",1
"355","BB105",1188,"Male","NaN",1
"356","BB105",1877,"Worker","NaN",1
"357","BB105",397,"Worker","NaN",1
"358","BB105",424,"Worker","NaN",1
