"","colonyID","tagNumber","qwm","callow","block"
"773","BI40",5073,"Worker","NaN",1
"774","BI40",6223,"Worker","NaN",1
"775","BI40",5196,"Queen","NaN",1
"776","BI40",3668,"Worker","NaN",1
"777","BI40",3679,"Worker","NaN",1
"778","BI40",5021,"Worker","NaN",1
"779","BI40",6294,"Worker","NaN",1
"780","BI40",5011,"Worker","NaN",1
"781","BI40",6400,"Worker","NaN",1
"782","BI40",5042,"Worker","NaN",1
"783","BI40",4920,"Worker","NaN",1
"784","BI40",5219,"Worker","NaN",1
"785","BI40",5077,"Worker","NaN",1
"786","BI40",6129,"Worker","NaN",1
"787","BI40",6383,"Worker","NaN",1
