"","colonyID","tagNumber","qwm","callow","block"
"1132","BG15",5615,"Worker","NaN",1
"1133","BG15",5694,"Male","NaN",1
"1134","BG15",6040,"Queen_n","NaN",1
"1135","BG15",5016,"Male","NaN",1
"1136","BG15",6039,"Worker","NaN",1
"1137","BG15",5846,"Queen_n","NaN",1
"1138","BG15",4882,"Queen_n","NaN",1
"1139","BG15",6013,"Male","NaN",1
"1140","BG15",5781,"Male","NaN",1
"1141","BG15",5186,"Queen","NaN",1
"1142","BG15",4492,"Worker","NaN",1
"1143","BG15",5718,"Worker","NaN",1
"1144","BG15",4977,"Male","NaN",1
"1145","BG15",6077,"Worker","NaN",1
"1146","BG15",5938,"Male","NaN",1
"1147","BG15",6045,"Queen_n","NaN",1
"1148","BG15",6072,"Worker","NaN",1
"1149","BG15",3678,"Queen_n","NaN",1
"1150","BG15",6041,"Male","NaN",1
"1151","BG15",6073,"Male","NaN",1
"1152","BG15",5747,"Male","NaN",1
"1153","BG15",5691,"Worker","NaN",1
"1154","BG15",3958,"Male","NaN",1
"1155","BG15",6005,"Worker","NaN",1
"1156","BG15",5454,"Queen_n","NaN",1
"1157","BG15",6076,"Male","NaN",1
"1158","BG15",5714,"Male","NaN",1
"1159","BG15",5685,"Male","NaN",1
"1160","BG15",5680,"Male","NaN",1
"1161","BG15",5725,"Worker","NaN",1
"1162","BG15",6035,"Worker","NaN",1
"1163","BG15",5908,"Male","NaN",1
"1164","BG15",5548,"Queen_n","NaN",1
"1165","BG15",5746,"Male","NaN",1
"1166","BG15",6070,"Male","NaN",1
"1167","BG15",6067,"Worker","NaN",1
"1168","BG15",5881,"Male","NaN",1
"1169","BG15",6034,"Worker","NaN",1
"1170","BG15",5352,"Male","NaN",1
"1171","BG15",5784,"Worker","NaN",1
"1172","BG15",6044,"Worker","NaN",1
"1173","BG15",5262,"Male","NaN",1
"1174","BG15",5719,"Worker","NaN",1
"1175","BG15",4945,"Worker","NaN",1
"1176","BG15",5882,"Male","NaN",1
"1177","BG15",5708,"Worker","NaN",1
"1178","BG15",5043,"Queen_n","Callow",1
"1179","BG15",5983,"Worker","NaN",1
"1180","BG15",5853,"Male","NaN",1
"1181","BG15",6012,"Male","NaN",1
"1182","BG15",6071,"Worker","NaN",1
"1183","BG15",6244,"Male","NaN",1
"1184","BG15",3929,"Male","NaN",1
"1185","BG15",5684,"Queen_n","NaN",1
"1186","BG15",4267,"Male","NaN",1
"1187","BG15",4290,"Worker","NaN",1
"1188","BG15",6002,"Worker","NaN",1
