block,colony,id,caste,callow,founding_queen
8,BG197,2744,,,
8,BG197,2616,,,
8,BG197,2690,,,
8,BG197,2782,,,
8,BG197,2531,,,
8,BG197,2654,,,
8,BG197,2534,Queen,,Y
8,BI147,2706,,,
8,BI147,2617,,,
8,BI147,2778,,,
8,BI147,2615,,,
8,BI147,2442,Queen,,Y
8,BI147,2745,,,
8,BI147,2550,,,
8,BI147,2833,,,
8,BI147,2478,,,
8,BI147,2832,,,
8,BI147,2707,,,
8,BG202,2498,,,
8,BG202,2585,,,
8,BG202,2620,,,
8,BG202,2711,,,
8,BG202,2783,,,
8,BG202,2672,,,
8,BG202,2742,,,
8,BG202,2814,Queen,,Y
8,BI176,2479,,,
8,BI176,2673,,,
8,BI176,2447,,,
8,BI176,2743,,,
8,BI176,2655,,,
8,BI176,2535,,,
8,BI176,2583,,,
8,BI176,2499,,,
8,BI176,2779,Queen,,Y
11,BI91,6310,,,
11,BI91,1446,,,
11,BI91,6479,,,
11,BI91,2610,Queen,,Y
11,BI91,1482,,,
11,BI91,6359,,,
11,BI91,6255,,,
11,BI91,6254,,,
11,BI91,6249,,,
11,BI91,914,,,
11,BI91,1421,,,
11,BI91,6212,,,
11,BI91,6411,,,
11,BI91,6373,,,
11,BI91,6337,,,
11,BI91,1377,,,
11,BI91,2614,,,
11,BI91,1410,,,
11,BI91,859,,,
11,BI91,6372,,,
11,BI91,6340,,,
11,BI91,6281,,,
11,BI183,2805,,,
11,BI183,1623,,,
11,BI183,1222,Queen,,Y
11,BI183,1256,,,
11,BI183,2537,,,
11,BI183,2640,,,
11,BI183,1472,,,
11,BI183,2641,,,
11,BI183,1588,,,
11,BI183,2810,,,
11,BI183,1509,,,
11,BI183,1473,,,
11,BI183,1477,,,
11,BI183,1624,,,
11,BI183,1556,,,
11,BI183,2413,,,
11,BI183,2588,,,
11,BI183,1552,,,
11,BI183,2433,,,
11,BI183,1260,,,
11,BI183,1380,,,
11,BI183,1359,,,
11,BI183,2769,,,
11,BI183,1563,,,
11,BI183,1321,,,
11,BI183,2687,,,
11,BI141,1504,Queen,,Y
11,BI141,1320,,,
11,BI141,1348,,,
11,BI141,1381,,,
11,BI141,2713,,,
11,BI141,2748,,,
11,BI141,1443,,,
11,BI141,1486,,,
11,BI141,2437,,,
11,BI141,1288,,,
11,BI141,1314,,,
11,BI141,1325,,,
11,BI141,1514,,,
11,BI141,1358,,,
11,BI141,2468,,,
11,BI141,2509,,,
11,BI141,1391,,,
11,BI141,1619,,,
11,BI141,1261,,,
11,BI41,2508,Queen,,Y
11,BI41,1257,,,
11,BI41,1420,,,
11,BI41,1255,,,
11,BI41,1354,,,
11,BI41,1287,,,
11,BI41,2712,,,
11,BI41,1505,,,
11,BI41,2465,,,
11,BI41,2432,,,
11,BI41,2811,,,
11,BI41,1518,,,
11,BI41,2446,,,
11,BI41,1293,,,
11,BI41,1414,,,
11,BI41,2749,,,
11,BI41,2504,,,
11,BI41,1251,,,
11,BI41,2469,,,
11,BI41,2800,,,
11,BI41,1355,,,
11,BI41,2505,,,
11,BI41,1448,,,
4,BI24,1594,Queen,,Y
4,BI24,1390,Worker,,
4,BI24,2717,Worker,,
4,BI24,1345,Worker,,
4,BB50,1589,Queen,,Y
4,BB50,2597,Worker,,
4,BB50,1315,Worker,,
4,BB50,1229,Worker,,
4,BB246,2436,Queen,,Y
4,BB246,2464,Male,Y,
4,BB246,1254,Worker,,
4,BB246,1416,Worker,,
4,BB246,1598,Worker,,
4,BB155,1508,Queen,,Y
4,BB155,1519,Worker,,
4,BB155,1449,Worker,,
4,BB155,2502,Worker,Y,
4,BB155,2651,Worker,Y,
4,BB155,2682,Worker,Y,
10,BI16,1447,,,
10,BI16,1553,,,
10,BI16,1415,,,
10,BI16,2768,,,
10,BI16,199,,,
10,BI16,391,,,
10,BI16,2738,,,
10,BI16,1625,,,
10,BI16,72,,,
10,BI16,205,,,
10,BI16,1442,,,
10,BI16,1595,,,
10,BB231,1250,,,
10,BB231,2676,Queen,,
10,BB231,1487,Queen,,Y
10,BB231,202,Queen,,
10,BB231,2589,,,
10,BB231,394,,,
10,BB231,362,Queen,,
10,BB231,66,,,
10,BB231,1417,Queen,,
10,BB231,2578,Queen,,
10,BB231,67,Queen,,
10,BB231,2772,,,
10,BB231,1324,,,
10,BB231,2804,,,
10,BB231,359,,,
10,BI10,300,Queen,,Y
10,BI10,129,,,
10,BI10,320,,,
10,BI10,1319,,,
10,BI10,164,,,
10,BI10,109,,,
10,BI10,194,,,
10,BI10,197,,,
10,BI10,2611,,,
10,BI10,295,,,
10,BI10,166,,,
10,BI10,171,,,
10,BI10,18,,,
10,BI10,228,,,
10,BI10,676,,,
10,BI10,71,,,
10,BI10,1349,,,
10,BI10,1225,,,
10,BI10,267,,,
10,BI10,200,,,
10,BI10,77,,,
10,BI196,324,,,
10,BI196,2540,,,
10,BI196,32,,,
10,BI196,262,,,
10,BI196,98,,,
10,BI196,1411,,,
10,BI196,2443,,,
10,BI196,227,,,
10,BI196,1376,,,
10,BI196,1283,,,
10,BI196,326,,,
10,BI196,2650,,,
10,BI196,293,,,
10,BI196,291,,,
10,BI196,298,,,
10,BI196,2412,,,
10,BI196,2536,Male,Callow,
10,BI196,43,,,
10,BI196,1366,Male,Callow,
10,BI196,233,Queen,,Y
10,BI196,204,,,
10,BI196,268,,,
10,BI196,1618,,,
10,BI196,2683,,,
10,BI196,108,,,
10,BI196,11,,,
10,BI196,1483,,,
3,BI56,138,Queen,,Y
3,BI56,301,,,
3,BI56,237,,,
3,BI56,389,,,
3,BI170,160,Queen,,Y
3,BI170,360,,,
3,BI170,352,,,
3,BI238,135,,,
3,BI238,47,,,
3,BI238,1452,Queen,,Y
3,BB38,101,,,
3,BB38,1599,,,
3,BB38,331,Queen,,Y
9,BG244,2475,Male,Callow,
9,BG244,599,Male,Callow,
9,BG244,756,,,
9,BG244,501,,,
9,BG244,699,,,
9,BG244,795,,,
9,BG244,761,,,
9,BG244,2645,,,
9,BG244,604,,,
9,BG244,321,Male,,
9,BG244,664,,,
9,BG244,646,Male,,
9,BG244,637,,,
9,BG244,2644,Male,,
9,BG244,605,,,
9,BG244,2579,Male,,
9,BG244,594,,,
9,BG244,104,,,
9,BG244,666,Male,Callow,
9,BG244,435,Male,,
9,BG244,818,Queen,,Y
9,BG244,260,,,
9,BG244,2503,,,
9,BG244,594,,,
9,BG244,46,,,
9,BG244,767,Male,,
9,BG244,560,,,
9,BI211,727,,,
9,BI211,1387,,,
9,BI211,729,,,
9,BI211,265,,,
9,BI211,703,,,
9,BI211,764,,,
9,BI211,1282,,,
9,BI211,1566,,,
9,BI211,481,,,
9,BI211,1562,,,
9,BI211,2474,,,
9,BI211,387,,,
9,BI211,42,Queen,,Y
9,BI211,269,Male,Callow,
9,BI211,258,,,
9,BI211,70,,,
9,BI211,392,,,
9,BI211,702,,,
9,BI211,543,,,
9,BI211,429,,,
9,BI211,722,,,
9,BI211,2716,,,
9,BI211,728,,,
9,BI211,2739,,,
9,BI211,542,,,
9,BI211,491,Male,,
9,BI211,631,,,
9,BI211,565,Male,Callow,
9,BI211,570,,,
9,BI211,236,,,
9,BI211,643,,,
9,BI211,600,,,
9,BI211,689,,,
9,BI211,538,,,
9,BI211,449,,,
9,BI211,1,,,
9,BI211,1567,,,
9,BB39,754,,,
9,BB39,819,,,
9,BB39,733,,,
9,BB39,788,,,
9,BB39,822,,,
9,BB39,1286,Male,,
9,BB39,1224,Male,,
9,BB39,528,Male,,
9,BB39,529,,,
9,BB39,4,Male,,
9,BB39,179,,,
9,BB39,128,,,
9,BB39,726,,,
9,BB39,36,,,
9,BB39,169,,,
9,BB39,539,Queen,,Y
9,BB39,1557,,,
9,BB39,494,Male,,
9,BB39,758,,,
9,BB39,819,,,
9,BB39,561,,,
9,BB39,796,,,
9,BB39,533,Male,,
9,BB67,133,,Callow,
9,BB67,823,Queen,,Y
9,BB67,136,,,
9,BB67,357,,,
9,BB67,627,,,
9,BB67,425,,,
9,BB67,787,,,
9,BB67,2773,,,
9,BB67,419,,,
9,BB67,418,,,
6,BG239,1023,Queen,,
6,BG239,987,Queen,,
6,BG239,914,,,
6,BG239,489,,,
6,BG239,1067,,,
6,BG239,953,Queen,,
6,BG239,880,,,
6,BG239,790,Queen,,
6,BG239,407,,,
6,BG239,1038,,,
6,BG239,329,,,
6,BG239,1028,Queen,,Y
6,BG239,1096,Queen,,
6,BB248,1071,,,
6,BB248,1129,Male,Callow,
6,BB248,859,,,
6,BB248,1095,Queen,,
6,BB248,425,,,
6,BB248,1019,,,
6,BB248,1070,,,
6,BB248,235,,,
6,BB248,1163,,,
6,BB248,1090,,,
6,BB248,1018,,,
