Colony ID,Tag List,Queen/male,Callow
BG244,2475,Male,Callow
BG244,599,Male,Callow
BG244,756,,
BG244,501,,
BG244,699,,
BG244,795,,
BG244,761,,
BG244,2645,,
BG244,604,,
BG244,321,Male,
BG244,664,,
BG244,646,Male,
BG244,637,,
BG244,2644,Male,
BG244,605,,
BG244,2579,Male,
BG244,594,,
BG244,104,,
BG244,666,Male,Callow
BG244,435,Male,
BG244,818,Queen,
BG244,260,,
BG244,2503,,
BG244,594,,
BG244,46,,
BG244,767,Male,
BG244,560,,
BI211,727,,
BI211,1387,,
BI211,729,,
BI211,265,,
BI211,703,,
BI211,764,,
BI211,1282,,
BI211,1566,,
BI211,481,,
BI211,1562,,
BI211,2474,,
BI211,387,,
BI211,42,Queen,
BI211,269,Male,Callow
BI211,258,,
BI211,70,,
BI211,392,,
BI211,702,,
BI211,543,,
BI211,429,,
BI211,722,,
BI211,2716,,
BI211,728,,
BI211,2739,,
BI211,542,,
BI211,491,Male,
BI211,631,,
BI211,565,Male,Callow
BI211,570,,
BI211,236,,
BI211,643,,
BI211,600,,
BI211,689,,
BI211,538,,
BI211,449,,
BI211,1,,
BI211,1567,,
BB39,754,,
BB39,819,,
BB39,733,,
BB39,788,,
BB39,822,,
BB39,1286,Male,
BB39,1224,Male,
BB39,528,Male,
BB39,529,,
BB39,4,Male,
BB39,179,,
BB39,128,,
BB39,726,,
BB39,36,,
BB39,169,,
BB39,539,Queen,
BB39,1557,,
BB39,494,Male,
BB39,758,,
BB39,819,,
BB39,561,,
BB39,796,,
BB39,533,Male,
BB67,133,,Callow
BB67,823,Queen,
BB67,136,,
BB67,357,,
BB67,627,,
BB67,425,,
BB67,787,,
BB67,2773,,
BB67,419,,
BB67,418,,
